"t";"rf";"O3";"X2mbu";"nbu"
"133";24.3357142857143;58.5642857142857;49.1945968577158;10.0596754550563;7.36006113800424
"134";23.2695652173913;60.5521739130435;44.8933330650732;8.75580550784126;6.43772744687529
"135";22.0083333333333;63.6791666666667;46.292011585857;5.01272625135397;3.50041403680113
"136";21.0375;68.9208333333333;42.9606492193258;4.7262505515649;3.48143141401274
"137";21.7958333333333;69.7708333333333;37.2105678098274;7.0116876988199;4.80161856687898
"138";22.7916666666667;67.9458333333333;41.1867790974686;8.0487806325181;5.81011012314226
"139";22.9478260869565;67.3782608695652;44.8396810387032;7.74191820926376;5.44259040561248
"140";17.9761904761905;72.8380952380952;41.7232860546141;2.77042888416526;2.28763598503690
"141";16.1956521739130;53.395652173913;48.9485320582035;2.28037027684208;1.61951311806517
"142";17.1;54.5291666666667;46.5812295405077;3.24696864203865;2.27704279759377
"143";17.8833333333333;52.4541666666667;47.3846127478705;2.28168347870703;1.66928169072895
"144";17.9555555555556;54.6944444444444;40.6761844367891;5.75205923930601;3.93924942392074
"145";20.5875;54.0625;48.828560165904;8.18062383415997;5.66341385350319
"146";21.0217391304348;50.3565217391304;56.419576730222;5.40712405246838;4.03160447669159
"147";15.5708333333333;77.2375;23.1802834764427;7.32601955988826;5.17500769285209
"148";15.9458333333333;87.6541666666667;14.2188115927126;8.637920447808;5.56797972823779
"149";10.4041666666667;90.2333333333333;22.7646665638336;3.89727115686107;3.21201632837933
"150";10.1333333333333;86.9583333333333;21.6420724287453;2.72085092497577;2.33220114366596
"151";12.3583333333333;73.6875;27.852760210465;3.02573470298159;2.19797496036801
"152";13.5055555555556;69.0333333333333;36.0572665832576;2.41795051023317;1.92311954800660
"153";14.0166666666667;72.6791666666667;28.5276021046498;5.31914403397754;3.32677286270347
"154";16.3086956521739;66.8;32.5600735032761;10.1517513529792;6.238903319856
"155";18.4958333333333;61.65;40.6062008329477;9.53445423222736;6.62886604741684
"156";18.4416666666667;62.9875;31.3276603767117;6.65797138418561;4.80273985633404
"157";15.2375;59.5708333333333;36.357910432413;2.86582615443817;1.9818267487615
"158";14.5608695652174;80.0652173913043;24.0562273236357;3.80227442017832;2.64058014732761
"159";13.6541666666667;81.1666666666667;17.9743602927314;4.63684819066757;3.13269931068648
"160";9.36666666666667;94.9833333333333;8.97218365982827;4.11123018927085;2.74115437225761
"161";19.98;67.89;28.3510720345519;3.73734325466051;2.55368114989384
"162";17.8956521739130;82.1391304347826;24.1791798840669;5.91977855310416;3.67667655570941
"163";14.3416666666667;82.9916666666667;23.3988037088454;3.17077428168291;2.17772872965322
"164";14.7083333333333;79.8416666666667;20.0524448557766;3.1823999472664;2.10532735881104
"165";11.2521739130435;93.2521739130435;21.0695978557073;3.88584467396881;2.67920880937875
"166";12.3708333333333;75.5708333333333;22.2376471798036;4.92527131933755;3.43658766666667
"167";13.0708333333333;88.6125;13.9510171902583;6.08995665654752;3.98714361641896
"168";15.5260869565217;77.1;25.3058724378363;4.62427254928205;3.31517326096188
"169";17.8875;67.975;34.2262669888769;7.1867807914315;5.08094725406936
"170";20.6304347826087;66.2130434782609;40.8314275686467;6.11518963273622;4.2659155048463
"171";21.2666666666667;68.0375;38.7637753440622;6.90260260318682;4.93676385845718
"172";21.9291666666667;69.4;39.0251426808576;5.99129442662905;4.22553962986554
"173";19.5625;70.6458333333333;41.4909935386567;2.23151503477567;1.81781732979476
"174";17.1;61.2833333333333;40.0813238041373;2.25777764380594;1.53659364614296
"175";17.6521739130435;57.0434782608696;42.8411430564218;3.02747459864219;2.18444412591157
"176";17.025;56.4833333333333;43.187738872607;2.32977934553332;1.82755136022647
"177";16.2916666666667;54.9916666666667;40.276278129124;2.25507825095491;1.49355952937014
"178";16.6434782608696;53.6652173913043;42.7785490256569;2.29212159412854;1.44975078223945
"179";17.4454545454545;58.1727272727273;40.2568021725819;4.24654101248503;2.73411308550473
"180";20.9;60.1739130434783;45.6310484276603;7.10131252444583;4.67543684445675
"181";21.1416666666667;67.45;39.1236910209608;4.72978589162533;3.41887441401274
"182";19.3458333333333;54.825;43.7019041253192;2.23497800225187;1.70850302760085
"183";18.4583333333333;66.45;45.5571837455225;2.56668053845277;2.00777028096249
"184";19.6375;71.2625;40.1563062368245;5.42914342611596;4.09339216206652
"185";20.0875;81;31.1905496426551;3.35700004204435;2.25820222151451
"186";20.7391304347826;73.2086956521739;30.8700346726220;6.55865484194793;4.31268408972584
"187";18.5375;81.5791666666667;26.2588479270571;5.3265988049427;3.39321291153574
"188";19.9208333333333;67.75;29.2495758136665;8.05066140755942;4.65390923779193
"189";17.7083333333333;81.2083333333333;20.2324026942259;10.2786381962260;5.52591529511677
"190";21.59375;73.65;47.0911100827806;5.62784446083461;3.82256314437367
"191";15.7625;91.1;29.1853051570775;2.3139056325181;2.45838467940552
"192";15.6416666666667;77.2125;31.7218537371244;1.76498272190867;1.32385914295825
"193";16.6375;76.7458333333333;26.7387354962552;3.46869678396329;2.27829994904459
"194";16.12;90.02;14.9107923286544;6.20153724645118;4.00210491719745
"195";17.6636363636364;92.3;16.8973398959517;8.51630276598722;5.50496875506659
"196";18.7166666666667;80.7958333333333;22.2012271410698;4.31180629168805;2.80428898584572
"197";19.2791666666667;73.0916666666667;24.1786210087922;9.38813747007012;5.66619843524416
"198";21.025;72.375;28.29194303049;10.8036441650989;6.07285853290871
"199";17.0666666666667;84.7333333333333;35.5502425146109;2.11116644219258;1.37225627530078
"200";14.7958333333333;86.0875;20.3673710730629;3.74818258366114;2.20893976291578
"201";15.0583333333333;79.6958333333333;25.8325192383499;3.62163780713757;2.26588648053786
"202";16.3260869565217;81.5565217391304;30.4050504440823;4.18780415895182;3.23947607495615
"203";17.1;81.0125;29.5002313743637;4.16860610569523;3.17789428237792
